iteration 	 keff 	 	 error	
71	1.21566	 	0.366385	 	
72	1.14891	 	0.337365	 	
73	1.08108	 	0.307749	 	
74	1.0119	 	0.277481	 	
75	0.94093	 	0.246482	 	
76	0.867521	 	0.214632	 	
77	0.790707	 	0.181693	 	
78	0.709046	 	0.146874	 	
79	0.620404	 	0.1057	 	


iteration 	 keff 	 	 error	
1	 	0.890611	 	-0.109389
2	 	0.984767	 	0.0941553
3	 	0.997528	 	0.0127617
4	 	0.999808	 	0.00227956
5	 	1.00024	 	0.000434082
6	 	1.00033	 	8.42465e-05
7	 	1.00034	 	1.66381e-05
8	 	1.00035	 	3.19164e-06
9	 	1.00035	 	1.22539e-06
10	 	1.00035	 	4.95222e-07
11	 	1.00035	 	1.87127e-07
12	 	1.00035	 	9.12306e-08
URRa-2-0-SL  delx = 0.0756685 keff= 1.00035 with error: 9.12306e-08

pos	 flux1 	 	 flux2
0	3.89052	 	1.40385	 	
1	3.88976	 	1.40357	 	
2	3.88823	 	1.40302	 	
3	3.88595	 	1.40218	 	
4	3.88289	 	1.40107	 	
5	3.87908	 	1.39968	 	
6	3.87451	 	1.39801	 	
7	3.86917	 	1.39606	 	
8	3.86308	 	1.39384	 	
9	3.85623	 	1.39134	 	
10	3.84863	 	1.38856	 	
11	3.84026	 	1.3855	 	
12	3.83115	 	1.38218	 	
13	3.82128	 	1.37857	 	
14	3.81067	 	1.37469	 	
15	3.79931	 	1.37054	 	
16	3.7872	 	1.36612	 	
17	3.77435	 	1.36142	 	
18	3.76076	 	1.35645	 	
19	3.74643	 	1.35121	 	
20	3.73136	 	1.34569	 	
21	3.71557	 	1.33991	 	
22	3.69905	 	1.33386	 	
23	3.6818	 	1.32755	 	
24	3.66383	 	1.32096	 	
25	3.64514	 	1.31411	 	
26	3.62573	 	1.307	 	
27	3.60562	 	1.29962	 	
28	3.5848	 	1.29198	 	
29	3.56327	 	1.28408	 	
30	3.54105	 	1.27592	 	
31	3.51813	 	1.26749	 	
32	3.49453	 	1.25881	 	
33	3.47024	 	1.24988	 	
34	3.44526	 	1.24068	 	
35	3.41962	 	1.23123	 	
36	3.3933	 	1.22153	 	
37	3.36632	 	1.21158	 	
38	3.33867	 	1.20137	 	
39	3.31038	 	1.19092	 	
40	3.28143	 	1.18022	 	
41	3.25185	 	1.16927	 	
42	3.22162	 	1.15807	 	
43	3.19077	 	1.14663	 	
44	3.15928	 	1.13494	 	
45	3.12718	 	1.12302	 	
46	3.09447	 	1.11085	 	
47	3.06115	 	1.09844	 	
48	3.02724	 	1.08579	 	
49	2.99273	 	1.0729	 	
50	2.95763	 	1.05978	 	
51	2.92195	 	1.04642	 	
52	2.88571	 	1.03283	 	
53	2.84889	 	1.019	 	
54	2.81152	 	1.00494	 	
55	2.7736	 	0.990653	 	
56	2.73513	 	0.976129	 	
57	2.69613	 	0.961375	 	
58	2.6566	 	0.946391	 	
59	2.61655	 	0.931178	 	
60	2.57599	 	0.915735	 	
61	2.53492	 	0.900063	 	
62	2.49336	 	0.884162	 	
63	2.4513	 	0.868033	 	
64	2.40877	 	0.851675	 	
65	2.36576	 	0.835088	 	
66	2.32228	 	0.818271	 	
