iteration 	 keff 	 	 error	
5	 	0.972519	 	0.00670746
6	 	0.977391	 	0.00487202
7	 	0.981158	 	0.00376673
8	 	0.984208	 	0.00305033
9	 	0.986764	 	0.00255614
10	 	0.98896	 	0.00219578
11	 	0.99088	 	0.00191982
12	 	0.992579	 	0.00169933
13	 	0.994096	 	0.00151683
14	 	0.995458	 	0.0013616
15	 	0.996684	 	0.00122669
16	 	0.997792	 	0.00110765
17	 	0.998793	 	0.00100141
18	 	0.999699	 	0.000905944
19	 	1.00052	 	0.000819692
20	 	1.00126	 	0.000741544
21	 	1.00193	 	0.000670615
22	 	1.00254	 	0.000606188
23	 	1.00308	 	0.000547657
24	 	1.00358	 	0.000494496
25	 	1.00403	 	0.000446238
26	 	1.00443	 	0.000402462
27	 	1.00479	 	0.000362782
28	 	1.00512	 	0.000326846
29	 	1.00541	 	0.000294326
30	 	1.00568	 	0.000264941
31	 	1.00592	 	0.000238354
32	 	1.00613	 	0.000214372
33	 	1.00632	 	0.000192735
34	 	1.0065	 	0.000173227
35	 	1.00665	 	0.000155648
36	 	1.00679	 	0.000139817
37	 	1.00692	 	0.000125567
38	 	1.00703	 	0.000112745
39	 	1.00713	 	0.000101214
40	 	1.00722	 	9.08244e-05
41	 	1.0073	 	8.15331e-05
42	 	1.00738	 	7.3161e-05
43	 	1.00744	 	6.56411e-05
44	 	1.0075	 	5.88626e-05
45	 	1.00755	 	5.28298e-05
46	 	1.0076	 	4.73884e-05
47	 	1.00764	 	4.24745e-05
48	 	1.00768	 	3.80948e-05
49	 	1.00772	 	3.41997e-05
50	 	1.00775	 	3.06379e-05
51	 	1.00777	 	2.74767e-05
52	 	1.0078	 	2.46426e-05
53	 	1.00782	 	2.21015e-05
54	 	1.00784	 	1.98236e-05
55	 	1.00786	 	1.7782e-05
56	 	1.00787	 	1.58958e-05
57	 	1.00789	 	1.43154e-05
58	 	1.0079	 	1.28484e-05
59	 	1.00791	 	1.14606e-05
60	 	1.00792	 	1.02801e-05
61	 	1.00793	 	9.30593e-06
62	 	1.00794	 	8.27274e-06
63	 	1.00795	 	7.42333e-06
64	 	1.00795	 	6.6637e-06
65	 	1.00796	 	5.98316e-06
66	 	1.00797	 	5.25986e-06
67	 	1.00797	 	4.83046e-06
68	 	1.00798	 	4.34189e-06
69	 	1.00798	 	3.77189e-06
70	 	1.00798	 	3.51042e-06
71	 	1.00799	 	3.01898e-06
72	 	1.00799	 	2.70296e-06
73	 	1.00799	 	2.42187e-06
74	 	1.00799	 	2.03712e-06
75	 	1.00799	 	1.95404e-06
76	 	1.008	 	1.6281e-06
77	 	1.008	 	1.4603e-06
78	 	1.008	 	1.42784e-06
79	 	1.008	 	1.16974e-06
80	 	1.008	 	1.04715e-06
81	 	1.008	 	9.42532e-07
IAEA-Pool  delx = 0.25 keff= 1.008 with error: 9.42532e-07

flux distribution is saved in the flux___IAEA-Pool.m and .py file script
iteration 	 keff 	 	 error	
1	 	0.851306	 	-0.148694
2	 	0.857965	 	0.00665932
3	 	0.864418	 	0.00645263
4	 	0.870574	 	0.0061559
5	 	0.876361	 	0.00578762
6	 	0.881729	 	0.00536735
7	 	0.886643	 	0.0049145
8	 	0.891091	 	0.00444781
9	 	0.895074	 	0.00398302
10	 	0.898607	 	0.00353321
11	 	0.901715	 	0.00310812
12	 	0.904429	 	0.00271391
13	 	0.906784	 	0.00235444
14	 	0.908815	 	0.00203132
15	 	0.910559	 	0.00174381
16	 	0.91205	 	0.00149106
17	 	0.91332	 	0.0012703
18	 	0.914399	 	0.00107895
19	 	0.915313	 	0.000914068
20	 	0.916086	 	0.000772698
21	 	0.916738	 	0.000651989
22	 	0.917287	 	0.000549282
23	 	0.91775	 	0.00046231
24	 	0.918138	 	0.000388375
25	 	0.918464	 	0.000326101
26	 	0.918738	 	0.000273769
27	 	0.918967	 	0.000229364
28	 	0.91916	 	0.000192377
29	 	0.919321	 	0.000160948
30	 	0.919455	 	0.000134932
31	 	0.919568	 	0.000112739
32	 	0.919663	 	9.45095e-05
33	 	0.919742	 	7.88522e-05
34	 	0.919808	 	6.59298e-05
35	 	0.919862	 	5.4927e-05
36	 	0.919909	 	4.60966e-05
37	 	0.919947	 	3.85127e-05
38	 	0.919979	 	3.19838e-05
39	 	0.920006	 	2.67128e-05
40	 	0.920028	 	2.24685e-05
41	 	0.920047	 	1.85787e-05
42	 	0.920062	 	1.54887e-05
43	 	0.920075	 	1.27733e-05
44	 	0.920086	 	1.0666e-05
45	 	0.920095	 	8.91455e-06
46	 	0.920102	 	7.44817e-06
47	 	0.920108	 	6.11706e-06
48	 	0.920113	 	5.21975e-06
49	 	0.920118	 	4.27646e-06
50	 	0.920121	 	3.57814e-06
51	 	0.920124	 	3.00065e-06
52	 	0.920127	 	2.44431e-06
53	 	0.920129	 	2.0634e-06
54	 	0.920131	 	1.75083e-06
55	 	0.920132	 	1.48446e-06
56	 	0.920133	 	1.25295e-06
57	 	0.920134	 	1.00933e-06
58	 	0.920135	 	9.01744e-07
IAEA-Pool  delx = 18 keff= 0.920135 with error: 9.01744e-07

flux distribution is saved in the flux___IAEA-Pool.m and .py file script
iteration 	 keff 	 	 error	
1	 	0.851306	 	-0.148694
2	 	0.857965	 	0.00665932
3	 	0.864418	 	0.00645263
4	 	0.870574	 	0.0061559
5	 	0.876361	 	0.00578762
6	 	0.881729	 	0.00536735
7	 	0.886643	 	0.0049145
8	 	0.891091	 	0.00444781
9	 	0.895074	 	0.00398302
10	 	0.898607	 	0.00353321
11	 	0.901715	 	0.00310812
12	 	0.904429	 	0.00271391
13	 	0.906784	 	0.00235444
14	 	0.908815	 	0.00203132
15	 	0.910559	 	0.00174381
16	 	0.91205	 	0.00149106
17	 	0.91332	 	0.0012703
18	 	0.914399	 	0.00107895
19	 	0.915313	 	0.000914068
20	 	0.916086	 	0.000772698
21	 	0.916738	 	0.000651989
22	 	0.917287	 	0.000549282
23	 	0.91775	 	0.00046231
24	 	0.918138	 	0.000388375
25	 	0.918464	 	0.000326101
26	 	0.918738	 	0.000273769
27	 	0.918967	 	0.000229364
28	 	0.91916	 	0.000192377
29	 	0.919321	 	0.000160948
30	 	0.919455	 	0.000134932
31	 	0.919568	 	0.000112739
32	 	0.919663	 	9.45095e-05
